Lattice Direction Pseudo, Atom Type, Atom Number, KE, Final Energy, Delta Energy
40S, ga, 34, 41, -1823.366685, 0.001120
40S, ga, 34, 49, -1823.366841, 0.000964
40S, n, 35, 25, -1823.366989, 0.000816
40S, n, 35, 33, -1815.798709, 7.569096
40S, n, 35, 29, -1815.797958, 7.569847
40S, n, 35, 27, -1815.798121, 7.569684
40S, n, 35, 26, -1823.366315, 0.001490
41S, ga, 34, 25, -1823.366426, 0.001379
41S, ga, 34, 33, -1823.366572, 0.001233
41S, ga, 34, 41, -1823.366674, 0.001131
41S, ga, 34, 49, -1823.366351, 0.001454
41S, n, 35, 25, -1823.365499, 0.002306
41S, n, 35, 33, -1823.366015, 0.001790
41S, n, 35, 41, -1815.808210, 7.559595
41S, n, 35, 37, -1823.366919, 0.000886
41S, n, 35, 39, -1815.746209, 7.621596
41S, n, 35, 38, -1823.367330, 0.000475
42S, ga, 34, 25, -1823.366434, 0.001371
42S, ga, 34, 33, -1823.366035, 0.001770
42S, ga, 34, 41, -1823.366573, 0.001232
42S, ga, 34, 49, -1817.593973, 5.773832
42S, ga, 34, 45, -1823.366483, 0.001322
42S, n, 35, 25, -1823.365707, 0.002098
42S, n, 35, 33, -1815.863020, 7.504785
42S, n, 35, 29, -1815.839489, 7.528316
42S, n, 35, 27, -1815.863556, 7.504249
42S, n, 35, 26, -1815.868320, 7.499485
43S, ga, 34, 25, -1823.366588, 0.001217
43S, ga, 34, 33, -1811.830343, 11.537462
43S, ga, 34, 29, -1823.366453, 0.001352
43S, ga, 34, 31, -1811.868388, 11.499417
43S, ga, 34, 30, -1811.868111, 11.499694
43S, n, 35, 25, -1823.366085, 0.001720
43S, n, 35, 33, -1823.366120, 0.001685
43S, n, 35, 41, -1815.896354, 7.471451
43S, n, 35, 37, -1815.817876, 7.549929
43S, n, 35, 35, -1823.366044, 0.001761
43S, n, 35, 36, -1823.366731, 0.001074
44S, ga, 34, 25, -1823.365393, 0.002412
44S, ga, 34, 33, -1811.328213, 12.039592
44S, ga, 34, 29, -1811.291015, 12.076790
44S, ga, 34, 27, -1811.290813, 12.076992
44S, ga, 34, 26, -1811.328004, 12.039801
44S, n, 35, 25, -1823.365871, 0.001934
44S, n, 35, 33, -1815.796383, 7.571422
45S, ga, 34, 25, -1823.366609, 0.001196
45S, ga, 34, 33, -1811.830308, 11.537497
45S, ga, 34, 29, -1823.366460, 0.001345
45S, ga, 34, 31, -1811.868234, 11.499571
45S, ga, 34, 30, -1811.868085, 11.499720
45S, n, 35, 25, -1823.366139, 0.001666
45S, n, 35, 33, -1823.366872, 0.000933
45S, n, 35, 41, -1815.898632, 7.469173
45S, n, 35, 37, -1815.847610, 7.520195
45S, n, 35, 35, -1823.365950, 0.001855
45S, n, 35, 36, -1823.366681, 0.001124
46S, ga, 34, 25, -1823.366427, 0.001378
46S, ga, 34, 33, -1823.366047, 0.001758
46S, ga, 34, 41, -1823.366594, 0.001211
46S, ga, 34, 49, -1823.365549, 0.002256
46S, n, 35, 25, -1823.365383, 0.002422
46S, n, 35, 33, -1815.858657, 7.509148
46S, n, 35, 29, -1815.840332, 7.527473
46S, n, 35, 27, -1815.859831, 7.507974
46S, n, 35, 26, -1815.868386, 7.499419
47S, ga, 34, 25, -1823.366421, 0.001384
47S, ga, 34, 33, -1823.366596, 0.001209
47S, ga, 34, 41, -1823.366634, 0.001171
47S, ga, 34, 49, -1823.366380, 0.001425
47S, n, 35, 25, -1823.365390, 0.002415
47S, n, 35, 33, -1823.365613, 0.002192
47S, n, 35, 41, -1815.809040, 7.558765
47S, n, 35, 37, -1823.366948, 0.000857
47S, n, 35, 39, -1815.809937, 7.557868
47S, n, 35, 38, -1823.366896, 0.000909
48S, ga, 34, 25, -1823.365439, 0.002366
48S, ga, 34, 33, -1815.788240, 7.579565
48S, ga, 34, 29, -1809.575393, 13.792412
48S, ga, 34, 27, -1823.365988, 0.001817
48S, ga, 34, 28, -1809.576147, 13.791658
48S, n, 35, 25, -1823.368547, -0.000742
48S, n, 35, 33, -1823.366160, 0.001645
48S, n, 35, 41, -1815.784829, 7.582976
48S, n, 35, 37, -1815.880937, 7.486868
48S, n, 35, 35, -1823.365824, 0.001981
48S, n, 35, 36, -1817.455842, 5.911963
49S, ga, 34, 25, -1823.366744, 0.001061
49S, ga, 34, 33, -1823.366558, 0.001247
49S, ga, 34, 41, -1823.366351, 0.001454
49S, ga, 34, 49, -1815.810114, 7.557691
49S, ga, 34, 45, -1815.806468, 7.561337
49S, ga, 34, 43, -1817.679261, 5.688544
49S, ga, 34, 42, -1823.366110, 0.001695
49S, n, 35, 25, -1815.792718, 7.575087
49S, n, 35, 17, -1823.365006, 0.002799
49S, n, 35, 21, -1823.366421, 0.001384
49S, n, 35, 23, -1823.365866, 0.001939
49S, n, 35, 24, -1817.457938, 5.909867
4L, ga, 34, 25, -1823.365674, 0.002131
4L, ga, 34, 33, -1815.777726, 7.590079
4L, ga, 34, 29, -1809.575763, 13.792042
4L, ga, 34, 27, -1823.365113, 0.002692
4L, ga, 34, 28, -1809.575972, 13.791833
4L, n, 35, 25, -1823.367687, 0.000118
4L, n, 35, 33, -1823.365995, 0.001810
4L, n, 35, 41, -1815.598259, 7.769546
4L, n, 35, 37, -1815.721054, 7.646751
